date,shanghai,beijing,guangzhou,shenzhen
20180101,76.625,36.666666666666664,76.91666666666667,67.875
20180102,43.25,46.958333333333336,122.04166666666667,85.875
20180103,41.291666666666664,29.291666666666668,129.16666666666666,58.416666666666664
20180104,28.958333333333332,27.5,96.20833333333333,51.166666666666664
20180105,44.0,49.208333333333336,50.875,52.208333333333336
20180106,82.58333333333333,29.791666666666668,29.791666666666668,34.791666666666664
20180107,34.375,56.875,33.083333333333336,19.083333333333332
20180108,123.875,51.25,30.291666666666668,21.125
20180109,53.708333333333336,37.666666666666664,55.625,51.75
20180110,61.208333333333336,32.125,43.75,46.458333333333336
20180111,64.54166666666667,30.625,38.791666666666664,42.875
20180112,49.666666666666664,77.16666666666667,40.583333333333336,41.416666666666664
20180113,73.66666666666667,130.125,50.291666666666664,53.5
20180114,48.0,177.41666666666666,77.25,53.041666666666664
20180115,57.583333333333336,48.583333333333336,87.20833333333333,60.416666666666664
20180116,95.29166666666667,114.33333333333333,122.375,72.54166666666667
20180117,144.66666666666666,77.125,148.95833333333334,126.66666666666667
20180118,109.125,87.0,184.25,84.375
20180119,166.66666666666666,108.5,156.29166666666666,73.33333333333333
20180120,118.875,61.875,168.16666666666666,61.708333333333336
20180121,61.625,63.541666666666664,141.20833333333334,73.125
20180122,65.95833333333333,45.291666666666664,158.04166666666666,135.125
20180123,114.79166666666667,35.958333333333336,103.58333333333333,91.45833333333333
20180124,38.708333333333336,36.208333333333336,104.95833333333333,57.041666666666664
20180125,29.416666666666668,29.0,72.66666666666667,44.125
20180126,34.708333333333336,39.625,57.583333333333336,59.375
20180127,29.291666666666668,105.0,49.791666666666664,56.041666666666664
20180128,35.416666666666664,56.041666666666664,40.916666666666664,52.958333333333336
20180129,125.54166666666667,55.333333333333336,24.541666666666668,23.25
20180130,234.41666666666666,36.666666666666664,42.833333333333336,40.333333333333336
20180131,228.08333333333334,61.375,26.791666666666668,25.541666666666668
20180201,168.29166666666666,67.0,70.5,56.416666666666664
20180202,141.375,35.375,63.666666666666664,61.958333333333336
20180203,46.0,28.083333333333332,58.666666666666664,61.208333333333336
20180204,51.958333333333336,37.958333333333336,58.958333333333336,72.54166666666667
20180205,74.875,32.833333333333336,42.333333333333336,62.333333333333336
20180206,49.833333333333336,61.125,48.958333333333336,53.833333333333336
20180207,44.75,63.666666666666664,59.416666666666664,58.875
20180208,112.54166666666667,69.45833333333333,66.04166666666667,55.208333333333336
20180209,87.0,90.25,80.66666666666667,56.5
20180210,106.75,41.916666666666664,109.66666666666667,75.625
20180211,93.625,64.25,79.91666666666667,76.33333333333333
20180212,90.375,52.458333333333336,65.16666666666667,61.416666666666664
20180213,57.291666666666664,80.08333333333333,68.125,59.666666666666664
20180214,64.20833333333333,43.916666666666664,64.33333333333333,56.125
20180215,59.47826086956522,62.43478260869565,64.8695652173913,60.95652173913044
20180216,42.0,112.875,171.75,79.04166666666667
20180217,59.416666666666664,105.25,88.33333333333333,66.33333333333333
20180218,43.083333333333336,148.95833333333334,58.916666666666664,50.916666666666664
20180219,45.25,185.125,65.83333333333333,46.875
20180220,63.75,72.45833333333333,54.208333333333336,39.0
20180221,54.041666666666664,51.25,45.375,37.083333333333336
20180222,65.66666666666667,44.541666666666664,18.333333333333332,21.375
20180223,70.75,48.166666666666664,20.375,23.916666666666668
20180224,56.166666666666664,63.541666666666664,43.833333333333336,43.791666666666664
20180225,52.25,75.08333333333333,36.416666666666664,54.5
20180226,55.541666666666664,159.95833333333334,37.208333333333336,28.541666666666668
20180227,63.0,219.125,45.375,42.0
20180228,49.25,133.83333333333334,51.291666666666664,44.5
20180301,96.625,48.958333333333336,89.75,52.041666666666664
20180302,43.166666666666664,99.125,66.875,50.041666666666664
20180303,47.583333333333336,217.08333333333334,48.875,51.041666666666664
20180304,52.791666666666664,135.875,40.25,40.041666666666664
20180305,44.166666666666664,92.45833333333333,41.041666666666664,30.166666666666668
20180306,49.0,65.83333333333333,49.083333333333336,40.833333333333336
20180307,38.541666666666664,64.875,53.208333333333336,44.666666666666664
20180308,72.08333333333333,61.625,16.75,20.75
20180309,58.083333333333336,136.20833333333334,43.791666666666664,41.958333333333336
20180310,87.875,165.41666666666666,59.208333333333336,56.458333333333336
20180311,89.83333333333333,83.16666666666667,87.70833333333333,52.416666666666664
20180312,50.125,183.66666666666666,67.08333333333333,46.75
20180313,48.166666666666664,289.875,65.20833333333333,47.166666666666664
20180314,41.0,293.2083333333333,53.5,40.791666666666664
20180315,63.166666666666664,69.83333333333333,69.375,51.958333333333336
20180316,48.791666666666664,57.791666666666664,112.16666666666667,62.5
20180317,44.041666666666664,82.29166666666667,65.83333333333333,48.708333333333336
20180318,54.0,135.75,53.25,46.0
20180319,42.958333333333336,101.375,52.291666666666664,50.041666666666664
20180320,66.625,44.25,28.791666666666668,37.083333333333336
20180321,40.625,78.79166666666667,38.625,45.208333333333336
20180322,101.08333333333333,109.25,48.166666666666664,49.375
20180323,121.91666666666667,146.75,108.625,61.25
20180324,84.5,117.45833333333333,73.58333333333333,66.16666666666667
20180325,100.375,76.45833333333333,67.20833333333333,61.25
20180326,89.54166666666667,155.20833333333334,87.04166666666667,66.70833333333333
20180327,89.5,245.75,67.25,66.41666666666667
20180328,77.08333333333333,388.2916666666667,122.16666666666667,64.375
20180329,47.291666666666664,115.33333333333333,90.33333333333333,53.583333333333336
20180330,38.75,68.0,87.33333333333333,54.5
20180331,52.75,128.66666666666666,73.16666666666667,45.291666666666664
20180401,73.66666666666667,221.0,88.79166666666667,51.833333333333336
