date,hour,shanghai,beijing,guangzhou,shenzhen
20180101,0,286.0,76.0,100.0,93.0
20180101,1,285.0,72.0,103.0,93.0
20180101,2,277.0,0.0,104.0,97.0
20180101,3,0.0,0.0,0.0,0.0
20180101,4,0.0,0.0,0.0,0.0
20180101,5,0.0,0.0,0.0,0.0
20180101,6,0.0,0.0,0.0,0.0
20180101,7,0.0,0.0,0.0,0.0
20180101,8,0.0,0.0,0.0,0.0
20180101,9,0.0,0.0,0.0,0.0
20180101,10,138.0,38.0,113.0,99.0
20180101,11,124.0,36.0,108.0,100.0
20180101,12,85.0,35.0,105.0,98.0
20180101,13,92.0,26.0,104.0,96.0
20180101,14,75.0,27.0,98.0,93.0
20180101,15,65.0,34.0,97.0,92.0
20180101,16,60.0,42.0,91.0,92.0
20180101,17,46.0,55.0,97.0,94.0
20180101,18,42.0,65.0,96.0,97.0
20180101,19,47.0,76.0,113.0,98.0
20180101,20,53.0,81.0,122.0,99.0
20180101,21,56.0,80.0,126.0,98.0
20180101,22,55.0,74.0,133.0,97.0
20180101,23,53.0,63.0,136.0,93.0
20180102,0,50.0,61.0,139.0,92.0
20180102,1,46.0,56.0,143.0,91.0
20180102,2,49.0,58.0,142.0,91.0
20180102,3,45.0,61.0,139.0,92.0
20180102,4,40.0,67.0,137.0,94.0
20180102,5,39.0,65.0,138.0,94.0
20180102,6,36.0,66.0,136.0,94.0
20180102,7,36.0,69.0,137.0,96.0
20180102,8,44.0,63.0,141.0,98.0
20180102,9,53.0,63.0,133.0,99.0
20180102,10,52.0,58.0,130.0,98.0
20180102,11,51.0,44.0,117.0,93.0
20180102,12,46.0,33.0,108.0,87.0
20180102,13,42.0,36.0,104.0,81.0
20180102,14,46.0,38.0,97.0,76.0
20180102,15,45.0,38.0,94.0,76.0
20180102,16,42.0,36.0,92.0,74.0
20180102,17,41.0,34.0,92.0,81.0
20180102,18,39.0,31.0,94.0,81.0
20180102,19,39.0,37.0,100.0,85.0
20180102,20,39.0,32.0,116.0,85.0
20180102,21,39.0,25.0,128.0,74.0
20180102,22,40.0,25.0,135.0,65.0
20180102,23,39.0,31.0,137.0,64.0
20180103,0,39.0,26.0,141.0,64.0
20180103,1,32.0,27.0,136.0,64.0
20180103,2,33.0,24.0,133.0,65.0
20180103,3,35.0,25.0,132.0,65.0
20180103,4,37.0,24.0,133.0,66.0
20180103,5,38.0,24.0,137.0,66.0
20180103,6,39.0,24.0,135.0,65.0
20180103,7,47.0,23.0,128.0,66.0
20180103,8,50.0,23.0,133.0,67.0
20180103,9,48.0,28.0,142.0,64.0
20180103,10,42.0,30.0,149.0,59.0
20180103,11,43.0,35.0,146.0,56.0
20180103,12,47.0,39.0,143.0,53.0
20180103,13,55.0,32.0,121.0,48.0
20180103,14,55.0,25.0,110.0,45.0
20180103,15,51.0,26.0,105.0,45.0
20180103,16,51.0,28.0,106.0,49.0
20180103,17,48.0,28.0,109.0,56.0
20180103,18,35.0,35.0,99.0,58.0
20180103,19,34.0,38.0,124.0,58.0
20180103,20,33.0,37.0,135.0,56.0
20180103,21,33.0,35.0,133.0,56.0
20180103,22,33.0,37.0,135.0,56.0
20180103,23,33.0,30.0,135.0,55.0
20180104,0,32.0,30.0,135.0,55.0
20180104,1,32.0,25.0,127.0,56.0
20180104,2,32.0,0.0,119.0,57.0
20180104,3,32.0,24.0,117.0,57.0
20180104,4,32.0,20.0,111.0,56.0
20180104,5,32.0,20.0,110.0,56.0
20180104,6,32.0,22.0,109.0,56.0
20180104,7,31.0,20.0,114.0,56.0
20180104,8,30.0,21.0,121.0,57.0
20180104,9,30.0,28.0,121.0,55.0
20180104,10,29.0,28.0,121.0,52.0
20180104,11,28.0,24.0,114.0,51.0
20180104,12,27.0,22.0,103.0,47.0
20180104,13,27.0,20.0,86.0,40.0
20180104,14,26.0,21.0,85.0,42.0
20180104,15,26.0,21.0,74.0,44.0
20180104,16,26.0,26.0,71.0,46.0
20180104,17,26.0,28.0,70.0,47.0
20180104,18,26.0,31.0,67.0,48.0
20180104,19,27.0,35.0,72.0,52.0
20180104,20,27.0,43.0,72.0,52.0
20180104,21,28.0,47.0,65.0,50.0
20180104,22,28.0,51.0,63.0,48.0
20180104,23,29.0,53.0,62.0,48.0
20180105,0,30.0,54.0,60.0,46.0
20180105,1,33.0,53.0,60.0,45.0
20180105,2,34.0,0.0,58.0,48.0
20180105,3,33.0,57.0,56.0,48.0
20180105,4,33.0,58.0,53.0,49.0
20180105,5,32.0,53.0,55.0,48.0
20180105,6,32.0,52.0,63.0,51.0
20180105,7,31.0,53.0,72.0,52.0
20180105,8,30.0,49.0,77.0,52.0
20180105,9,29.0,50.0,71.0,53.0
20180105,10,28.0,43.0,57.0,50.0
20180105,11,28.0,39.0,52.0,51.0
20180105,12,28.0,34.0,45.0,53.0
20180105,13,32.0,32.0,39.0,55.0
20180105,14,34.0,28.0,56.0,56.0
20180105,15,42.0,34.0,32.0,56.0
20180105,16,53.0,37.0,34.0,54.0
20180105,17,56.0,43.0,37.0,54.0
20180105,18,63.0,42.0,41.0,53.0
20180105,19,69.0,52.0,44.0,54.0
20180105,20,71.0,61.0,42.0,55.0
20180105,21,77.0,86.0,41.0,55.0
20180105,22,77.0,91.0,39.0,57.0
20180105,23,81.0,80.0,37.0,58.0
20180106,0,82.0,41.0,36.0,57.0
20180106,1,81.0,29.0,32.0,56.0
20180106,2,85.0,28.0,33.0,55.0
20180106,3,92.0,24.0,35.0,54.0
20180106,4,91.0,19.0,36.0,52.0
20180106,5,88.0,18.0,36.0,49.0
20180106,6,88.0,18.0,38.0,46.0
20180106,7,87.0,19.0,35.0,44.0
20180106,8,89.0,21.0,32.0,42.0
20180106,9,98.0,24.0,30.0,40.0
20180106,10,99.0,23.0,33.0,37.0
20180106,11,97.0,25.0,36.0,32.0
20180106,12,87.0,21.0,36.0,29.0
20180106,13,78.0,22.0,37.0,29.0
20180106,14,77.0,24.0,29.0,28.0
20180106,15,82.0,25.0,28.0,25.0
20180106,16,88.0,26.0,22.0,22.0
20180106,17,89.0,27.0,20.0,22.0
20180106,18,83.0,32.0,20.0,22.0
20180106,19,75.0,48.0,20.0,22.0
20180106,20,70.0,48.0,20.0,21.0
20180106,21,60.0,45.0,20.0,19.0
20180106,22,58.0,53.0,20.0,16.0
20180106,23,58.0,55.0,31.0,16.0
20180107,0,56.0,60.0,19.0,16.0
20180107,1,50.0,69.0,18.0,16.0
20180107,2,42.0,75.0,43.0,15.0
20180107,3,35.0,76.0,18.0,15.0
20180107,4,32.0,76.0,18.0,13.0
20180107,5,28.0,76.0,18.0,13.0
20180107,6,28.0,74.0,18.0,13.0
20180107,7,25.0,69.0,18.0,14.0
20180107,8,25.0,64.0,19.0,14.0
20180107,9,26.0,60.0,19.0,14.0
20180107,10,27.0,58.0,20.0,14.0
20180107,11,28.0,58.0,21.0,13.0
20180107,12,30.0,58.0,25.0,14.0
20180107,13,30.0,56.0,30.0,17.0
20180107,14,33.0,53.0,39.0,18.0
20180107,15,37.0,45.0,39.0,21.0
20180107,16,36.0,44.0,38.0,23.0
20180107,17,34.0,42.0,40.0,25.0
20180107,18,33.0,47.0,48.0,27.0
20180107,19,32.0,54.0,53.0,28.0
20180107,20,35.0,47.0,54.0,29.0
20180107,21,38.0,37.0,58.0,29.0
20180107,22,40.0,31.0,60.0,29.0
20180107,23,45.0,36.0,61.0,28.0
20180108,0,53.0,33.0,63.0,27.0
20180108,1,56.0,30.0,64.0,24.0
20180108,2,56.0,35.0,74.0,23.0
20180108,3,67.0,33.0,69.0,22.0
20180108,4,88.0,33.0,61.0,21.0
20180108,5,109.0,40.0,59.0,20.0
20180108,6,117.0,49.0,35.0,19.0
20180108,7,127.0,52.0,20.0,30.0
20180108,8,130.0,48.0,17.0,32.0
20180108,9,142.0,52.0,17.0,31.0
20180108,10,150.0,48.0,16.0,26.0
20180108,11,164.0,48.0,16.0,24.0
20180108,12,184.0,54.0,16.0,20.0
20180108,13,172.0,65.0,15.0,18.0
20180108,14,168.0,83.0,16.0,18.0
20180108,15,170.0,88.0,16.0,18.0
20180108,16,153.0,87.0,18.0,18.0
20180108,17,150.0,76.0,19.0,16.0
20180108,18,157.0,62.0,20.0,16.0
20180108,19,163.0,50.0,20.0,15.0
20180108,20,154.0,43.0,20.0,16.0
20180108,21,100.0,49.0,19.0,16.0
20180108,22,74.0,40.0,19.0,18.0
20180108,23,69.0,32.0,18.0,19.0
20180109,0,66.0,31.0,16.0,20.0
20180109,1,60.0,31.0,17.0,31.0
20180109,2,56.0,30.0,20.0,33.0
20180109,3,53.0,29.0,30.0,33.0
20180109,4,50.0,29.0,39.0,36.0
20180109,5,47.0,27.0,49.0,39.0
20180109,6,47.0,26.0,55.0,43.0
20180109,7,45.0,33.0,59.0,48.0
20180109,8,51.0,38.0,61.0,50.0
20180109,9,54.0,47.0,61.0,53.0
20180109,10,55.0,49.0,65.0,53.0
20180109,11,55.0,44.0,69.0,50.0
20180109,12,52.0,42.0,69.0,56.0
20180109,13,50.0,50.0,67.0,61.0
20180109,14,52.0,54.0,66.0,65.0
20180109,15,51.0,52.0,65.0,65.0
20180109,16,53.0,47.0,65.0,65.0
20180109,17,55.0,42.0,65.0,65.0
20180109,18,57.0,35.0,65.0,65.0
20180109,19,58.0,35.0,66.0,65.0
20180109,20,58.0,34.0,67.0,65.0
20180109,21,56.0,33.0,66.0,61.0
20180109,22,55.0,33.0,66.0,60.0
20180109,23,53.0,33.0,67.0,60.0
20180110,0,53.0,33.0,67.0,61.0
20180110,1,54.0,33.0,65.0,59.0
20180110,2,50.0,32.0,59.0,55.0
