date,hour,shanghai,beijing,guangzhou,shenzhen
20160101,0,108.0,215.0,92.0,77.0
20160101,1,96.0,211.0,92.0,72.0
20160101,2,93.0,203.0,94.0,74.0
20160101,3,88.0,189.0,93.0,71.0
20160101,4,86.0,172.0,94.0,71.0
20160101,5,80.0,148.0,92.0,70.0
20160101,6,76.0,136.0,91.0,65.0
20160101,7,81.0,133.0,86.0,66.0
20160101,8,78.0,136.0,83.0,67.0
20160101,9,93.0,142.0,89.0,76.0
20160101,10,91.0,163.0,86.0,75.0
20160101,11,81.0,163.0,81.0,72.0
20160101,12,72.0,178.0,81.0,72.0
20160101,13,70.0,200.0,81.0,75.0
20160101,14,72.0,216.0,85.0,76.0
20160101,15,66.0,226.0,77.0,80.0
20160101,16,64.0,232.0,75.0,83.0
20160101,17,66.0,239.0,75.0,82.0
20160101,18,72.0,266.0,74.0,86.0
20160101,19,81.0,290.0,80.0,87.0
20160101,20,86.0,305.0,87.0,86.0
20160101,21,87.0,321.0,97.0,91.0
20160101,22,88.0,311.0,97.0,93.0
20160101,23,92.0,315.0,98.0,99.0
20160102,0,92.0,323.0,105.0,97.0
20160102,1,89.0,324.0,109.0,97.0
20160102,2,89.0,311.0,113.0,96.0
20160102,3,88.0,291.0,114.0,94.0
20160102,4,91.0,266.0,113.0,93.0
20160102,5,92.0,252.0,114.0,93.0
20160102,6,97.0,245.0,114.0,94.0
20160102,7,99.0,239.0,108.0,99.0
20160102,8,113.0,231.0,105.0,94.0
20160102,9,136.0,237.0,106.0,99.0
20160102,10,178.0,257.0,109.0,100.0
20160102,11,206.0,263.0,103.0,99.0
20160102,12,205.0,283.0,94.0,96.0
20160102,13,193.0,286.0,85.0,94.0
20160102,14,158.0,291.0,77.0,92.0
20160102,15,122.0,294.0,70.0,97.0
20160102,16,109.0,292.0,69.0,97.0
20160102,17,103.0,299.0,67.0,98.0
20160102,18,115.0,309.0,71.0,98.0
20160102,19,133.0,326.0,89.0,108.0
20160102,20,141.0,368.0,104.0,103.0
20160102,21,156.0,417.0,116.0,100.0
20160102,22,167.0,434.0,127.0,100.0
20160102,23,181.0,436.0,133.0,104.0
20160103,0,191.0,452.0,146.0,108.0
20160103,1,199.0,458.0,154.0,106.0
20160103,2,198.0,455.0,164.0,105.0
20160103,3,196.0,442.0,168.0,106.0
20160103,4,206.0,392.0,179.0,99.0
20160103,5,217.0,344.0,191.0,99.0
20160103,6,218.0,314.0,192.0,98.0
20160103,7,215.0,272.0,186.0,89.0
20160103,8,213.0,270.0,184.0,83.0
20160103,9,215.0,271.0,185.0,72.0
20160103,10,215.0,268.0,198.0,63.0
20160103,11,213.0,265.0,193.0,61.0
20160103,12,207.0,253.0,154.0,65.0
20160103,13,205.0,225.0,141.0,63.0
20160103,14,208.0,217.0,132.0,56.0
20160103,15,207.0,217.0,120.0,50.0
20160103,16,203.0,231.0,115.0,50.0
20160103,17,196.0,255.0,111.0,50.0
20160103,18,192.0,265.0,120.0,49.0
20160103,19,199.0,276.0,136.0,55.0
20160103,20,213.0,281.0,139.0,50.0
20160103,21,215.0,280.0,132.0,47.0
20160103,22,212.0,285.0,125.0,45.0
20160103,23,206.0,281.0,111.0,39.0
20160104,0,193.0,273.0,98.0,35.0
20160104,1,188.0,247.0,97.0,33.0
20160104,2,188.0,238.0,93.0,30.0
20160104,3,178.0,154.0,92.0,25.0
20160104,4,172.0,59.0,92.0,22.0
20160104,5,170.0,25.0,92.0,23.0
20160104,6,178.0,18.0,92.0,23.0
20160104,7,184.0,22.0,94.0,26.0
20160104,8,184.0,22.0,96.0,28.0
20160104,9,186.0,20.0,91.0,31.0
20160104,10,182.0,23.0,87.0,34.0
20160104,11,170.0,34.0,85.0,38.0
20160104,12,174.0,29.0,85.0,36.0
20160104,13,171.0,35.0,82.0,30.0
20160104,14,153.0,28.0,83.0,29.0
20160104,15,167.0,28.0,78.0,31.0
20160104,16,174.0,30.0,81.0,27.0
20160104,17,184.0,30.0,86.0,31.0
20160104,18,185.0,30.0,91.0,28.0
20160104,19,165.0,35.0,100.0,31.0
20160104,20,148.0,32.0,110.0,28.0
20160104,21,149.0,26.0,116.0,27.0
20160104,22,143.0,26.0,120.0,30.0
20160104,23,138.0,25.0,126.0,28.0
20160105,0,111.0,24.0,124.0,28.0
20160105,1,88.0,25.0,106.0,30.0
20160105,2,72.0,25.0,86.0,31.0
20160105,3,54.0,26.0,71.0,35.0
20160105,4,51.0,26.0,59.0,35.0
20160105,5,51.0,25.0,53.0,37.0
20160105,6,50.0,24.0,49.0,36.0
20160105,7,48.0,23.0,52.0,35.0
20160105,8,47.0,21.0,37.0,33.0
20160105,9,47.0,19.0,27.0,34.0
20160105,10,46.0,24.0,25.0,38.0
20160105,11,45.0,28.0,23.0,33.0
20160105,12,44.0,29.0,23.0,33.0
20160105,13,43.0,35.0,22.0,36.0
20160105,14,43.0,41.0,19.0,31.0
20160105,15,43.0,47.0,19.0,23.0
20160105,16,41.0,51.0,20.0,24.0
20160105,17,40.0,58.0,23.0,25.0
20160105,18,39.0,69.0,27.0,29.0
20160105,19,38.0,85.0,30.0,31.0
20160105,20,40.0,96.0,42.0,31.0
20160105,21,42.0,104.0,53.0,35.0
20160105,22,44.0,106.0,53.0,40.0
20160105,23,40.0,108.0,42.0,52.0
20160106,0,42.0,99.0,47.0,46.0
20160106,1,43.0,88.0,41.0,46.0
20160106,2,44.0,78.0,38.0,43.0
20160106,3,50.0,63.0,33.0,41.0
20160106,4,63.0,54.0,34.0,46.0
20160106,5,61.0,48.0,26.0,42.0
20160106,6,63.0,47.0,22.0,36.0
20160106,7,59.0,31.0,22.0,26.0
