date,hour,shanghai,beijing,guangzhou,shenzhen
20140513,0,111.0,81.0,91.0,48.0
20140513,1,113.0,81.0,98.0,41.0
20140513,2,111.0,87.0,102.0,47.0
20140513,3,114.0,85.0,100.0,38.0
20140513,4,108.0,84.0,100.0,39.0
20140513,5,95.0,85.0,99.0,35.0
20140513,6,91.0,90.0,96.0,31.0
20140513,7,94.0,101.0,95.0,39.0
20140513,8,95.0,116.0,99.0,45.0
20140513,9,85.0,116.0,103.0,38.0
20140513,10,72.0,119.0,111.0,41.0
20140513,11,63.0,135.0,103.0,43.0
20140513,12,55.0,121.0,83.0,29.0
20140513,13,54.0,0.0,69.0,36.0
20140513,14,63.0,78.0,62.0,35.0
20140513,15,73.0,72.0,58.0,31.0
20140513,17,83.0,68.0,38.0,26.0
20140513,18,81.0,69.0,38.0,32.0
20140513,19,78.0,71.0,39.0,27.0
20140513,20,79.0,83.0,46.0,28.0
20140513,21,79.0,77.0,45.0,28.0
20140513,22,77.0,71.0,43.0,30.0
20140513,23,79.0,70.0,38.0,32.0
20140514,0,69.0,89.0,31.0,23.0
20140514,1,62.0,104.0,33.0,21.0
20140514,2,60.0,93.0,33.0,20.0
20140514,3,52.0,83.0,36.0,19.0
20140514,4,41.0,74.0,37.0,20.0
20140514,5,47.0,64.0,34.0,22.0
20140514,6,60.0,58.0,31.0,23.0
20140514,7,67.0,55.0,34.0,41.0
20140514,8,69.0,48.0,37.0,37.0
20140514,9,78.0,35.0,40.0,27.0
20140514,10,79.0,35.0,43.0,30.0
20140514,11,91.0,34.0,44.0,30.0
20140514,12,132.0,38.0,44.0,36.0
20140514,13,162.0,35.0,47.0,29.0
20140514,14,172.0,35.0,50.0,26.0
20140514,15,175.0,37.0,47.0,24.0
20140514,16,157.0,39.0,42.0,24.0
20140514,17,172.0,40.0,37.0,26.0
20140514,18,158.0,41.0,43.0,31.0
20140514,19,138.0,43.0,41.0,34.0
20140514,20,128.0,58.0,46.0,34.0
20140514,21,114.0,64.0,49.0,36.0
20140514,22,96.0,62.0,49.0,37.0
20140514,23,78.0,65.0,48.0,34.0
20140515,0,69.0,70.0,50.0,30.0
20140515,1,78.0,69.0,45.0,27.0
20140515,2,84.0,73.0,44.0,22.0
20140515,3,100.0,77.0,45.0,21.0
20140515,4,103.0,72.0,43.0,30.0
20140515,5,84.0,69.0,43.0,32.0
20140515,6,79.0,62.0,42.0,34.0
20140515,7,71.0,60.0,45.0,35.0
20140515,8,72.0,69.0,48.0,42.0
20140515,9,80.0,73.0,52.0,36.0
20140515,10,84.0,70.0,53.0,39.0
20140515,11,88.0,81.0,51.0,40.0
20140515,12,96.0,95.0,55.0,41.0
20140515,13,92.0,128.0,58.0,36.0
20140515,14,81.0,159.0,66.0,39.0
20140515,15,80.0,170.0,68.0,40.0
20140515,17,93.0,208.0,58.0,38.0
20140515,18,96.0,191.0,49.0,33.0
20140515,19,97.0,179.0,52.0,40.0
20140515,20,96.0,169.0,54.0,42.0
20140515,21,93.0,180.0,58.0,40.0
20140515,22,88.0,182.0,58.0,39.0
20140515,23,82.0,172.0,60.0,36.0
20140516,0,81.0,166.0,64.0,32.0
20140516,1,83.0,144.0,73.0,39.0
20140516,2,85.0,136.0,67.0,35.0
20140516,4,78.0,134.0,56.0,37.0
