date,hour,shanghai,beijing,guangzhou,shenzhen
20170101,0,69.0,451.0,119.0,64.0
20170101,1,64.0,435.0,125.0,63.0
20170101,2,59.0,427.0,121.0,61.0
20170101,3,59.0,421.0,128.0,63.0
20170101,4,59.0,421.0,113.0,61.0
20170101,5,59.0,433.0,104.0,58.0
20170101,6,59.0,433.0,104.0,54.0
20170101,7,58.0,432.0,100.0,52.0
20170101,8,56.0,431.0,99.0,54.0
20170101,9,59.0,434.0,97.0,53.0
20170101,10,56.0,446.0,89.0,52.0
20170101,11,50.0,467.0,77.0,48.0
20170101,12,46.0,497.0,78.0,46.0
20170101,15,42.0,500.0,72.0,49.0
20170101,16,42.0,500.0,72.0,50.0
20170101,18,48.0,492.0,87.0,52.0
20170101,19,53.0,484.0,109.0,54.0
20170101,21,53.0,467.0,135.0,55.0
20170101,22,54.0,459.0,138.0,54.0
20170102,3,58.0,373.0,143.0,52.0
20170102,5,58.0,212.0,143.0,54.0
20170102,6,61.0,126.0,137.0,54.0
20170102,7,64.0,78.0,133.0,56.0
20170102,8,66.0,65.0,136.0,59.0
20170102,9,75.0,178.0,147.0,62.0
20170102,10,91.0,256.0,149.0,62.0
20170102,11,109.0,178.0,132.0,63.0
20170102,12,114.0,210.0,110.0,60.0
20170102,13,121.0,230.0,80.0,57.0
20170102,14,133.0,227.0,65.0,66.0
20170102,15,143.0,256.0,61.0,59.0
20170102,16,139.0,262.0,60.0,62.0
20170102,17,136.0,264.0,59.0,64.0
20170102,18,136.0,246.0,65.0,70.0
20170102,19,128.0,243.0,94.0,81.0
20170102,20,105.0,233.0,121.0,87.0
20170102,21,88.0,244.0,130.0,83.0
20170102,22,89.0,264.0,136.0,81.0
20170102,23,89.0,273.0,139.0,80.0
20170103,0,91.0,295.0,141.0,78.0
20170103,1,94.0,315.0,138.0,81.0
20170103,2,92.0,322.0,143.0,80.0
20170103,3,105.0,315.0,146.0,82.0
20170103,4,139.0,304.0,156.0,85.0
20170103,5,163.0,305.0,160.0,87.0
20170103,6,170.0,303.0,157.0,89.0
20170103,7,165.0,291.0,142.0,94.0
20170103,8,165.0,270.0,136.0,93.0
20170103,9,174.0,272.0,122.0,97.0
20170103,10,181.0,274.0,100.0,87.0
20170103,11,181.0,272.0,83.0,74.0
20170103,12,167.0,279.0,74.0,66.0
20170103,13,153.0,272.0,67.0,59.0
20170103,14,141.0,268.0,69.0,57.0
20170103,15,132.0,296.0,70.0,57.0
20170103,16,117.0,346.0,94.0,57.0
20170103,17,108.0,365.0,92.0,60.0
20170103,18,105.0,398.0,96.0,65.0
20170103,19,108.0,422.0,120.0,64.0
20170103,20,109.0,448.0,154.0,59.0
20170103,21,111.0,494.0,170.0,53.0
20170103,22,99.0,500.0,170.0,49.0
20170103,23,97.0,500.0,148.0,45.0
20170104,0,87.0,500.0,128.0,44.0
20170104,1,78.0,500.0,111.0,44.0
20170104,2,72.0,500.0,98.0,48.0
20170104,3,67.0,500.0,96.0,50.0
20170104,4,64.0,500.0,87.0,51.0
20170104,5,61.0,500.0,85.0,51.0
20170104,6,64.0,475.0,81.0,51.0
20170104,7,64.0,406.0,80.0,52.0
20170104,8,69.0,333.0,86.0,53.0
20170104,9,75.0,305.0,93.0,51.0
20170104,10,80.0,336.0,93.0,47.0
20170104,11,76.0,329.0,103.0,42.0
20170104,12,69.0,328.0,114.0,37.0
20170104,13,64.0,256.0,111.0,38.0
20170104,14,60.0,282.0,111.0,41.0
20170104,15,69.0,331.0,105.0,44.0
20170104,16,82.0,335.0,100.0,48.0
20170104,17,83.0,363.0,99.0,53.0
20170104,18,82.0,355.0,106.0,56.0
20170104,19,83.0,392.0,124.0,54.0
20170104,20,85.0,415.0,138.0,55.0
20170104,21,81.0,419.0,160.0,57.0
20170104,22,78.0,411.0,172.0,58.0
20170104,23,77.0,381.0,181.0,59.0
20170105,0,72.0,315.0,192.0,63.0
20170105,1,65.0,305.0,200.0,64.0
20170105,2,63.0,265.0,200.0,65.0
20170105,3,56.0,269.0,193.0,64.0
20170105,4,45.0,290.0,191.0,65.0
20170105,5,40.0,327.0,188.0,65.0
20170105,6,38.0,360.0,177.0,65.0
20170105,7,38.0,339.0,170.0,65.0
20170105,8,39.0,318.0,161.0,67.0
20170105,9,38.0,318.0,150.0,75.0
20170105,10,38.0,318.0,165.0,76.0
20170105,11,39.0,323.0,188.0,64.0
20170105,12,39.0,315.0,208.0,57.0
20170105,13,40.0,259.0,219.0,55.0
20170105,14,46.0,251.0,206.0,62.0
20170105,15,48.0,231.0,208.0,66.0
20170105,16,54.0,206.0,227.0,65.0
20170105,17,43.0,208.0,217.0,68.0
20170105,18,40.0,213.0,199.0,71.0
20170105,19,39.0,229.0,204.0,74.0
20170105,20,38.0,252.0,213.0,75.0
20170105,21,37.0,234.0,213.0,75.0
20170105,22,35.0,244.0,212.0,78.0
20170105,23,34.0,238.0,208.0,77.0
20170106,0,33.0,235.0,203.0,75.0
20170106,1,32.0,234.0,203.0,74.0
20170106,2,32.0,229.0,196.0,71.0
20170106,3,35.0,237.0,193.0,71.0
20170106,4,42.0,231.0,188.0,74.0
20170106,5,46.0,224.0,188.0,74.0
20170106,6,43.0,217.0,179.0,74.0
20170106,7,36.0,221.0,171.0,74.0
20170106,8,30.0,224.0,157.0,72.0
20170106,9,31.0,231.0,147.0,77.0
20170106,10,34.0,253.0,127.0,75.0
20170106,11,35.0,252.0,113.0,67.0
20170106,12,32.0,255.0,92.0,62.0
20170106,13,32.0,236.0,74.0,66.0
20170106,14,30.0,245.0,64.0,63.0
20170106,15,35.0,255.0,59.0,63.0
20170106,16,36.0,255.0,61.0,61.0
20170106,17,40.0,256.0,57.0,66.0
20170106,18,41.0,255.0,59.0,65.0
20170106,19,36.0,261.0,69.0,66.0
20170106,20,32.0,263.0,80.0,63.0
20170106,21,30.0,267.0,93.0,59.0
20170106,22,26.0,273.0,98.0,61.0
20170106,23,23.0,273.0,106.0,63.0
20170107,0,19.0,272.0,100.0,64.0
20170107,1,32.0,271.0,93.0,64.0
20170107,2,33.0,271.0,84.0,61.0
20170107,3,33.0,261.0,71.0,55.0
20170107,4,34.0,265.0,70.0,48.0
20170107,5,34.0,266.0,74.0,45.0
20170107,6,33.0,250.0,78.0,43.0
20170107,7,33.0,243.0,81.0,42.0
20170107,8,32.0,242.0,85.0,42.0
20170107,9,32.0,239.0,94.0,43.0
20170107,10,31.0,238.0,96.0,42.0
20170107,11,30.0,235.0,94.0,40.0
20170107,12,29.0,238.0,81.0,39.0
20170107,13,29.0,217.0,77.0,37.0
20170107,14,31.0,185.0,77.0,41.0
20170107,15,36.0,150.0,76.0,44.0
20170107,16,39.0,139.0,77.0,44.0
20170107,17,42.0,141.0,77.0,47.0
20170107,18,38.0,136.0,76.0,54.0
20170107,19,32.0,144.0,85.0,54.0
20170107,20,35.0,154.0,89.0,57.0
20170107,21,36.0,160.0,100.0,55.0
20170107,22,43.0,165.0,115.0,54.0
20170107,23,54.0,185.0,117.0,55.0
20170108,0,61.0,177.0,119.0,58.0
20170108,1,61.0,148.0,122.0,59.0
20170108,2,67.0,97.0,131.0,60.0
20170108,3,77.0,61.0,128.0,61.0
20170108,4,87.0,45.0,120.0,60.0
20170108,5,94.0,32.0,113.0,61.0
20170108,6,103.0,30.0,105.0,63.0
20170108,7,113.0,28.0,100.0,67.0
20170108,8,120.0,29.0,103.0,74.0
20170108,9,130.0,33.0,98.0,82.0
20170108,10,135.0,33.0,89.0,74.0
20170108,11,141.0,35.0,81.0,74.0
20170108,12,143.0,48.0,80.0,76.0
20170108,13,142.0,56.0,77.0,74.0
20170108,14,143.0,43.0,74.0,75.0
20170108,15,147.0,66.0,67.0,72.0
20170108,16,144.0,66.0,61.0,72.0
20170108,17,135.0,61.0,61.0,78.0
20170108,18,122.0,65.0,59.0,82.0
20170108,19,103.0,58.0,59.0,83.0
20170108,20,76.0,27.0,61.0,81.0
20170108,21,64.0,27.0,60.0,76.0
20170108,22,49.0,26.0,57.0,67.0
20170108,23,49.0,26.0,56.0,65.0
20170109,0,48.0,26.0,56.0,61.0
20170109,1,49.0,25.0,53.0,59.0
20170109,2,66.0,24.0,50.0,55.0
20170109,3,72.0,24.0,48.0,53.0
20170109,4,65.0,21.0,46.0,49.0
20170109,5,71.0,22.0,45.0,50.0
20170109,6,85.0,22.0,43.0,48.0
20170109,7,88.0,22.0,43.0,44.0
20170109,8,88.0,22.0,44.0,43.0
20170109,9,87.0,21.0,43.0,46.0
20170109,10,83.0,20.0,43.0,43.0
