date,hour,shanghai,beijing,guangzhou,shenzhen
20190101,0,26.0,76.0,45.0,44.0
20190101,1,31.0,74.0,42.0,43.0
20190101,2,31.0,67.0,42.0,46.0
20190101,3,32.0,75.0,43.0,46.0
20190101,4,32.0,75.0,43.0,46.0
20190101,5,32.0,71.0,45.0,46.0
20190101,6,32.0,69.0,46.0,48.0
20190101,7,32.0,67.0,46.0,48.0
20190101,8,32.0,71.0,43.0,49.0
20190101,9,33.0,75.0,40.0,48.0
20190101,10,40.0,70.0,36.0,46.0
20190101,11,40.0,56.0,33.0,42.0
20190101,12,43.0,47.0,32.0,42.0
20190101,13,48.0,36.0,35.0,43.0
20190101,14,50.0,33.0,36.0,44.0
20190101,15,53.0,31.0,38.0,45.0
20190101,16,49.0,39.0,38.0,45.0
20190101,17,48.0,39.0,38.0,46.0
20190101,18,40.0,35.0,40.0,46.0
20190101,19,49.0,36.0,42.0,46.0
20190101,20,54.0,36.0,41.0,46.0
20190101,21,60.0,31.0,42.0,46.0
20190101,22,66.0,31.0,40.0,47.0
20190101,23,69.0,32.0,39.0,44.0
20190102,0,64.0,32.0,39.0,42.0
20190102,1,58.0,33.0,39.0,39.0
20190102,2,61.0,34.0,40.0,38.0
20190102,3,66.0,39.0,43.0,38.0
20190102,4,74.0,29.0,42.0,38.0
20190102,5,80.0,28.0,42.0,38.0
20190102,6,87.0,20.0,40.0,38.0
20190102,7,92.0,23.0,39.0,38.0
20190102,8,98.0,24.0,40.0,39.0
20190102,9,103.0,33.0,39.0,39.0
20190102,10,109.0,32.0,53.0,40.0
20190102,11,106.0,34.0,35.0,41.0
20190102,12,103.0,36.0,32.0,44.0
20190102,13,103.0,45.0,30.0,47.0
20190102,14,98.0,54.0,30.0,49.0
20190102,15,94.0,61.0,29.0,51.0
20190102,16,91.0,69.0,26.0,51.0
20190102,17,88.0,76.0,26.0,50.0
20190102,18,86.0,86.0,25.0,51.0
20190102,19,88.0,108.0,25.0,51.0
20190102,20,89.0,139.0,22.0,51.0
20190102,21,87.0,161.0,23.0,51.0
20190102,22,91.0,186.0,24.0,50.0
20190102,23,89.0,184.0,22.0,48.0
20190103,0,89.0,182.0,21.0,46.0
20190103,1,94.0,186.0,20.0,43.0
20190103,2,94.0,204.0,22.0,40.0
20190103,3,86.0,179.0,22.0,38.0
20190103,4,80.0,147.0,23.0,38.0
20190103,5,81.0,139.0,25.0,36.0
20190103,6,81.0,115.0,26.0,35.0
20190103,7,82.0,92.0,28.0,33.0
20190103,8,83.0,93.0,29.0,33.0
20190103,9,82.0,94.0,29.0,34.0
20190103,10,77.0,111.0,29.0,35.0
20190103,11,72.0,130.0,29.0,39.0
20190103,12,65.0,158.0,32.0,46.0
20190103,13,59.0,160.0,33.0,51.0
20190103,14,56.0,181.0,36.0,52.0
20190103,15,55.0,175.0,38.0,52.0
20190103,16,55.0,203.0,40.0,53.0
20190103,17,58.0,193.0,43.0,56.0
20190103,18,58.0,205.0,43.0,55.0
20190103,19,59.0,205.0,52.0,60.0
20190103,20,60.0,206.0,59.0,61.0
20190103,21,58.0,199.0,61.0,60.0
20190103,22,50.0,195.0,61.0,57.0
20190103,23,38.0,181.0,61.0,55.0
20190104,0,35.0,184.0,60.0,55.0
20190104,1,28.0,133.0,61.0,55.0
20190104,2,23.0,82.0,63.0,55.0
20190104,3,23.0,54.0,61.0,56.0
20190104,4,25.0,35.0,60.0,56.0
20190104,5,25.0,32.0,63.0,59.0
20190104,6,26.0,35.0,63.0,59.0
20190104,7,25.0,40.0,64.0,60.0
20190104,8,30.0,47.0,64.0,58.0
20190104,9,32.0,49.0,63.0,56.0
20190104,10,33.0,51.0,65.0,54.0
20190104,11,33.0,50.0,67.0,49.0
20190104,12,31.0,32.0,72.0,51.0
20190104,13,29.0,29.0,78.0,53.0
20190104,14,27.0,30.0,76.0,55.0
20190104,15,30.0,31.0,66.0,58.0
20190104,16,33.0,32.0,61.0,69.0
20190104,17,38.0,32.0,65.0,71.0
20190104,18,40.0,32.0,66.0,72.0
20190104,19,42.0,36.0,66.0,74.0
20190104,20,42.0,36.0,74.0,81.0
20190104,21,43.0,36.0,72.0,85.0
20190104,22,48.0,37.0,75.0,83.0
20190104,23,55.0,32.0,77.0,81.0
20190105,0,53.0,31.0,76.0,81.0
20190105,1,49.0,28.0,75.0,85.0
20190105,2,50.0,26.0,75.0,83.0
20190105,3,45.0,24.0,74.0,85.0
20190105,4,48.0,19.0,61.0,89.0
20190105,5,48.0,19.0,53.0,87.0
20190105,6,36.0,23.0,49.0,86.0
20190105,7,26.0,24.0,43.0,85.0
20190105,8,25.0,24.0,39.0,83.0
20190105,9,24.0,23.0,39.0,85.0
20190105,10,29.0,22.0,40.0,85.0
20190105,11,21.0,21.0,46.0,87.0
20190105,12,21.0,21.0,53.0,85.0
20190105,13,25.0,22.0,56.0,89.0
20190105,14,29.0,23.0,56.0,91.0
20190105,15,30.0,24.0,54.0,91.0
20190105,16,36.0,27.0,54.0,98.0
20190105,17,35.0,30.0,53.0,104.0
20190105,18,39.0,41.0,52.0,115.0
20190105,19,55.0,49.0,54.0,110.0
20190105,20,76.0,54.0,58.0,103.0
20190105,21,96.0,55.0,55.0,98.0
20190105,22,104.0,57.0,48.0,92.0
20190105,23,88.0,63.0,38.0,82.0
20190106,0,70.0,72.0,30.0,78.0
20190106,1,66.0,63.0,25.0,64.0
20190106,2,60.0,71.0,22.0,56.0
20190106,3,55.0,81.0,20.0,51.0
20190106,4,48.0,63.0,20.0,47.0
20190106,5,33.0,62.0,19.0,42.0
20190106,6,27.0,60.0,18.0,38.0
20190106,7,27.0,57.0,18.0,35.0
20190106,8,26.0,54.0,16.0,33.0
20190106,9,26.0,58.0,16.0,33.0
20190106,10,26.0,59.0,16.0,33.0
20190106,11,26.0,60.0,19.0,31.0
20190106,12,25.0,69.0,19.0,32.0
20190106,13,29.0,87.0,20.0,33.0
20190106,14,31.0,92.0,22.0,34.0
20190106,15,37.0,104.0,25.0,36.0
20190106,16,38.0,108.0,29.0,37.0
20190106,17,42.0,110.0,29.0,40.0
20190106,18,46.0,110.0,35.0,43.0
20190106,19,45.0,119.0,41.0,45.0
20190106,20,43.0,122.0,48.0,49.0
20190106,21,49.0,126.0,50.0,53.0
20190106,22,49.0,120.0,53.0,54.0
20190106,23,46.0,116.0,50.0,55.0
20190107,0,46.0,113.0,49.0,56.0
20190107,1,39.0,110.0,43.0,57.0
20190107,2,36.0,108.0,45.0,57.0
20190107,3,36.0,108.0,45.0,57.0
20190107,4,35.0,113.0,46.0,56.0
20190107,5,35.0,98.0,45.0,56.0
20190107,6,35.0,82.0,45.0,56.0
20190107,7,38.0,65.0,50.0,55.0
20190107,8,42.0,54.0,53.0,55.0
20190107,9,43.0,53.0,56.0,54.0
20190107,10,42.0,47.0,59.0,54.0
20190107,11,44.0,36.0,61.0,55.0
20190107,12,43.0,34.0,65.0,59.0
20190107,13,42.0,27.0,72.0,60.0
20190107,14,42.0,28.0,74.0,62.0
20190107,15,42.0,28.0,77.0,65.0
20190107,16,46.0,32.0,81.0,67.0
20190107,17,49.0,30.0,82.0,69.0
20190107,18,45.0,37.0,82.0,70.0
20190107,19,45.0,42.0,87.0,73.0
20190107,20,43.0,41.0,86.0,76.0
20190107,21,35.0,37.0,86.0,78.0
20190107,22,33.0,29.0,82.0,80.0
20190107,23,33.0,31.0,72.0,78.0
20190108,0,33.0,24.0,69.0,81.0
20190108,1,33.0,24.0,65.0,78.0
20190108,2,36.0,26.0,60.0,80.0
20190108,3,33.0,26.0,54.0,80.0
20190108,4,35.0,27.0,46.0,77.0
20190108,5,38.0,26.0,36.0,76.0
20190108,6,40.0,26.0,30.0,75.0
20190108,7,42.0,27.0,25.0,72.0
20190108,8,48.0,28.0,22.0,70.0
20190108,9,53.0,31.0,22.0,65.0
20190108,10,55.0,26.0,27.0,61.0
20190108,11,64.0,25.0,28.0,57.0
20190108,12,76.0,26.0,28.0,56.0
20190108,13,86.0,26.0,26.0,56.0
20190108,14,86.0,27.0,25.0,57.0
20190108,15,82.0,29.0,26.0,56.0
20190108,16,96.0,31.0,31.0,56.0
20190108,17,135.0,32.0,35.0,56.0
